year,county,total,male,female,over18,under19,under19_male,under19_female,over18_male,over18_female
1993.0,CONEJOS,7641.0,3805.0,3836.0,4940.0,2701.0,1364.0,1337.0,2441.0,2499.0
1993.0,COSTILLA,3342.0,1664.0,1678.0,2384.0,958.0,489.0,469.0,1175.0,1209.0
1993.0,CROWLEY,4140.0,2648.0,1492.0,3261.0,879.0,480.0,399.0,2168.0,1093.0
1993.0,CUSTER,2322.0,1178.0,1144.0,1707.0,615.0,342.0,273.0,836.0,871.0
1993.0,DELTA,23237.0,11531.0,11706.0,17292.0,5945.0,3101.0,2844.0,8430.0,8862.0
1993.0,DENVER,501336.0,246965.0,254371.0,384847.0,116489.0,59728.0,56761.0,187237.0,197610.0
1993.0,DOLORES,1426.0,729.0,697.0,1042.0,384.0,208.0,176.0,521.0,521.0
1993.0,DOUGLAS,83128.0,41644.0,41484.0,56295.0,26833.0,13847.0,12986.0,27797.0,28498.0
1993.0,EAGLE,26834.0,14322.0,12512.0,19855.0,6979.0,3590.0,3389.0,10732.0,9123.0
1993.0,EL PASO,437127.0,219488.0,217639.0,309960.0,127167.0,65415.0,61752.0,154073.0,155887.0
1993.0,ELBERT,11535.0,5770.0,5765.0,7852.0,3683.0,1857.0,1826.0,3913.0,3939.0
1993.0,FREMONT,36504.0,19592.0,16912.0,28067.0,8437.0,4331.0,4106.0,15261.0,12806.0
1993.0,GARFIELD,32579.0,16643.0,15936.0,23187.0,9392.0,4874.0,4518.0,11769.0,11418.0
1993.0,GILPIN,3372.0,1785.0,1587.0,2561.0,811.0,436.0,375.0,1349.0,1212.0
1993.0,GRAND,8930.0,4733.0,4197.0,6655.0,2275.0,1189.0,1086.0,3544.0,3111.0
1993.0,GUNNISON,11306.0,6039.0,5267.0,8693.0,2613.0,1332.0,1281.0,4707.0,3986.0
1993.0,HINSDALE,535.0,278.0,257.0,433.0,102.0,52.0,50.0,226.0,207.0
1993.0,HUERFANO,6443.0,3257.0,3186.0,4804.0,1639.0,852.0,787.0,2405.0,2399.0
1993.0,JACKSON,1628.0,854.0,774.0,1187.0,441.0,225.0,216.0,629.0,558.0
1993.0,JEFFERSON,476206.0,235639.0,240567.0,345459.0,130747.0,67171.0,63576.0,168468.0,176991.0
1993.0,KIOWA,1700.0,841.0,859.0,1208.0,492.0,246.0,246.0,595.0,613.0
1993.0,KIT CARSON,7262.0,3673.0,3589.0,5118.0,2144.0,1132.0,1012.0,2541.0,2577.0
1993.0,LA PLATA,35595.0,17978.0,17617.0,26103.0,9492.0,4883.0,4609.0,13095.0,13008.0
1993.0,LAKE,6265.0,3274.0,2991.0,4430.0,1835.0,947.0,888.0,2327.0,2103.0
1993.0,LARIMER,206849.0,102657.0,104192.0,151801.0,55048.0,28220.0,26828.0,74437.0,77364.0
1993.0,LAS ANIMAS,14215.0,6940.0,7275.0,10406.0,3809.0,1974.0,1835.0,4966.0,5440.0
1993.0,LINCOLN,5882.0,3030.0,2852.0,4299.0,1583.0,823.0,760.0,2207.0,2092.0
1993.0,LOGAN,17965.0,8989.0,8976.0,12972.0,4993.0,2560.0,2433.0,6429.0,6543.0
1993.0,MESA,99901.0,48611.0,51290.0,72095.0,27806.0,14191.0,13615.0,34420.0,37675.0
1993.0,MINERAL,603.0,309.0,294.0,467.0,136.0,71.0,65.0,238.0,229.0
1993.0,MOFFAT,11797.0,6017.0,5780.0,7960.0,3837.0,1997.0,1840.0,4020.0,3940.0
1993.0,MONTEZUMA,20645.0,10080.0,10565.0,14157.0,6488.0,3354.0,3134.0,6726.0,7431.0
1993.0,MONTROSE,27284.0,13359.0,13925.0,19497.0,7787.0,4008.0,3779.0,9351.0,10146.0
1993.0,MORGAN,24238.0,11960.0,12278.0,16669.0,7569.0,3815.0,3754.0,8145.0,8524.0
1993.0,OTERO,20435.0,9901.0,10534.0,14351.0,6084.0,3151.0,2933.0,6750.0,7601.0
1993.0,OURAY,2652.0,1337.0,1315.0,1988.0,664.0,352.0,312.0,985.0,1003.0
1993.0,PARK,8575.0,4405.0,4170.0,6250.0,2325.0,1207.0,1118.0,3198.0,3052.0
1993.0,PHILLIPS,4373.0,2084.0,2289.0,3172.0,1201.0,597.0,604.0,1487.0,1685.0
1993.0,PITKIN,14060.0,7427.0,6633.0,11593.0,2467.0,1271.0,1196.0,6156.0,5437.0
1993.0,PROWERS,13420.0,6600.0,6820.0,9055.0,4365.0,2220.0,2145.0,4380.0,4675.0
1993.0,PUEBLO,126356.0,61348.0,65008.0,91300.0,35056.0,17887.0,17169.0,43461.0,47839.0
1993.0,RIO BLANCO,6261.0,3170.0,3091.0,4334.0,1927.0,987.0,940.0,2183.0,2151.0
1993.0,RIO GRANDE,11210.0,5522.0,5688.0,7731.0,3479.0,1781.0,1698.0,3741.0,3990.0
1993.0,ROUTT,15925.0,8520.0,7405.0,11835.0,4090.0,2181.0,1909.0,6339.0,5496.0
1993.0,SAGUACHE,4831.0,2459.0,2372.0,3274.0,1557.0,828.0,729.0,1631.0,1643.0
1993.0,SAN JUAN,541.0,296.0,245.0,390.0,151.0,81.0,70.0,215.0,175.0
